,Source,Departure Time,Destination,Arrival Time,Date,Price,Airline,Timestamp
0,EWR,11:10 AM,BOS,12:27 PM,12 May,$94,Delta,2023-03-28 13:22:55.858073
1,LGA,2:15 PM,BOS,3:32 PM,12 May,$94,JetBlue,2023-03-28 13:22:55.879121
2,EWR,4:59 PM,BOS,6:21 PM,12 May,$94,United,2023-03-28 13:22:55.902756
3,JFK,12:02 PM,BOS,1:37 PM,12 May,$104,American,2023-03-28 13:22:55.920912
4,LGA,6:00 AM,BOS,7:10 AM,12 May,$94,Delta,2023-03-28 13:22:55.938640
5,EWR,6:00 AM,BOS,7:12 AM,12 May,$94,JetBlue,2023-03-28 13:22:55.959731
6,JFK,6:00 AM,BOS,7:20 AM,12 May,$94,Delta,2023-03-28 13:22:55.977957
7,JFK,6:30 AM,BOS,7:41 AM,12 May,$94,JetBlue,2023-03-28 13:22:55.999147
8,EWR,6:45 AM,BOS,7:59 AM,12 May,$94,United,2023-03-28 13:22:56.020034
9,EWR,7:00 AM,BOS,8:16 AM,12 May,$94,Delta,2023-03-28 13:22:56.038372
10,LGA,7:00 AM,BOS,8:23 AM,12 May,$94,Delta,2023-03-28 13:22:56.056375
11,LGA,7:15 AM,BOS,8:27 AM,12 May,$94,JetBlue,2023-03-28 13:22:56.077402
12,EWR,7:59 AM,BOS,9:28 AM,12 May,$94,United,2023-03-28 13:22:56.097985
13,LGA,8:15 AM,BOS,9:30 AM,12 May,$94,JetBlue,2023-03-28 13:22:56.119008
14,JFK,8:30 AM,BOS,10:01 AM,12 May,$94,Delta,2023-03-28 13:22:56.137162
15,EWR,9:12 AM,BOS,10:41 AM,12 May,$94,United,2023-03-28 13:22:56.157732
16,LGA,10:15 AM,BOS,11:32 AM,12 May,$94,JetBlue,2023-03-28 13:22:56.178696
17,EWR,11:15 AM,BOS,12:25 PM,12 May,$94,JetBlue,2023-03-28 13:22:56.199682
18,JFK,2:15 PM,BOS,3:46 PM,12 May,$94,JetBlue,2023-03-28 13:22:56.220844
19,EWR,3:30 PM,BOS,4:43 PM,12 May,$94,JetBlue,2023-03-28 13:22:56.241957
20,JFK,3:30 PM,BOS,4:58 PM,12 May,$94,JetBlue,2023-03-28 13:22:56.263034
21,EWR,4:02 PM,BOS,5:24 PM,12 May,$94,United,2023-03-28 13:22:56.283558
22,LGA,4:15 PM,BOS,5:35 PM,12 May,$94,JetBlue,2023-03-28 13:22:56.304566
23,EWR,5:00 PM,BOS,6:32 PM,12 May,$94,Delta,2023-03-28 13:22:56.322520
24,LGA,5:15 PM,BOS,6:42 PM,12 May,$94,JetBlue,2023-03-28 13:22:56.343627
25,LGA,5:59 PM,BOS,7:32 PM,12 May,$94,Delta,2023-03-28 13:22:56.361851
26,LGA,7:15 PM,BOS,8:36 PM,12 May,$94,JetBlue,2023-03-28 13:22:56.383346
27,LGA,8:00 PM,BOS,9:14 PM,12 May,$94,Delta,2023-03-28 13:22:56.400955
28,LGA,8:15 PM,BOS,9:34 PM,12 May,$94,JetBlue,2023-03-28 13:22:56.421950
29,LGA,8:59 PM,BOS,10:22 PM,12 May,$94,Delta,2023-03-28 13:22:56.440211
30,LGA,9:59 PM,BOS,11:10 PM,12 May,$94,Delta,2023-03-28 13:22:56.458077
31,EWR,9:59 PM,BOS,11:21 PM,12 May,$94,United,2023-03-28 13:22:56.479021
32,LGA,9:15 AM,BOS,10:34 AM,12 May,$104,JetBlue,2023-03-28 13:22:56.500633
33,JFK,10:00 AM,BOS,11:24 AM,12 May,$104,Delta,2023-03-28 13:22:56.521248
34,LGA,12:15 PM,BOS,1:32 PM,12 May,$104,JetBlue,2023-03-28 13:22:56.543834
35,LGA,1:15 PM,BOS,2:31 PM,12 May,$104,JetBlue,2023-03-28 13:22:56.566472
36,JFK,1:50 PM,BOS,3:22 PM,12 May,$104,Delta,2023-03-28 13:22:56.585390
37,LGA,6:15 PM,BOS,7:37 PM,12 May,$104,JetBlue,2023-03-28 13:22:56.607475
38,JFK,9:59 PM,BOS,11:30 PM,12 May,$104,American,2023-03-28 13:22:56.626572
39,JFK,1:15 PM,BOS,2:31 PM,12 May,$119,JetBlue,2023-03-28 13:22:56.649061
40,JFK,9:09 AM,BOS,10:43 AM,12 May,$124,American,2023-03-28 13:22:56.667909
41,LGA,8:00 AM,BOS,9:28 AM,12 May,$139,Delta,2023-03-28 13:22:56.687209
42,LGA,9:00 AM,BOS,10:16 AM,12 May,$139,Delta,2023-03-28 13:22:56.705676
43,LGA,9:59 AM,BOS,11:28 AM,12 May,$139,Delta,2023-03-28 13:22:56.724928
44,LGA,12:00 PM,BOS,1:25 PM,12 May,$139,Delta,2023-03-28 13:22:56.743994
45,LGA,12:59 PM,BOS,2:29 PM,12 May,$139,Delta,2023-03-28 13:22:56.763104
46,LGA,1:59 PM,BOS,3:24 PM,12 May,$139,Delta,2023-03-28 13:22:56.782168
47,LGA,6:59 PM,BOS,8:29 PM,12 May,$139,Delta,2023-03-28 13:22:56.800829
48,EWR,8:07 PM,BOS,9:29 PM,12 May,$143,United,2023-03-28 13:22:56.822873
49,JFK,7:29 PM,BOS,9:19 PM,12 May,$149,American,2023-03-28 13:22:56.842077
50,EWR,2:45 PM,BOS,3:59 PM,12 May,$153,United,2023-03-28 13:22:56.864051
51,EWR,1:04 PM,BOS,2:18 PM,12 May,$162,United,2023-03-28 13:22:56.886011
52,JFK,10:00 PM,BOS,11:27 PM,12 May,$169,Delta,2023-03-28 13:22:56.903954
53,LGA,11:00 AM,BOS,12:30 PM,12 May,$174,Delta,2023-03-28 13:22:56.921853
54,LGA,3:00 PM,BOS,4:30 PM,12 May,$174,Delta,2023-03-28 13:22:56.939730
55,LGA,4:00 PM,BOS,5:35 PM,12 May,$174,Delta,2023-03-28 13:22:56.957815
56,LGA,5:00 PM,BOS,6:30 PM,12 May,$174,Delta,2023-03-28 13:22:56.975773
57,EWR,6:57 PM,BOS,8:19 PM,12 May,$208,United,2023-03-28 13:22:56.993259
58,JFK,5:25 PM,BOS,6:56 PM,12 May,$264,JetBlue,2023-03-28 13:22:57.014465
59,JFK,4:29 PM,BOS,6:10 PM,12 May,$299,Delta,2023-03-28 13:22:57.032493
60,JFK,10:30 AM,BOS,11:40 AM,12 May,$324,JetBlue,2023-03-28 13:22:57.053514
61,JFK,10:29 PM,BOS,11:50 PM,12 May,$414,JetBlue,2023-03-28 13:22:57.074743
